node.owner.login,node.name,node.createdAt,node.updatedAt,node.primaryLanguage,node.releases.totalCount,node.totalIssues.totalCount,node.closedIssues.totalCount,node.pullRequests.totalCount,node.primaryLanguage.name
remix-run,react-router,2014-05-16T22:22:51Z,2024-03-20T09:12:50Z,,269,7313,7264,2063,TypeScript
necolas,normalize.css,2011-05-04T10:20:25Z,2024-03-20T13:16:48Z,,0,507,461,56,CSS
localstack,localstack,2016-10-25T23:48:03Z,2024-03-20T13:55:39Z,,73,5252,4944,4628,Python
meta-llama,llama,2023-02-14T09:29:12Z,2024-03-20T14:18:58Z,,0,881,582,48,Python
ageitgey,face_recognition,2017-03-03T21:52:39Z,2024-03-20T10:48:06Z,,2,1315,584,94,Python
psf,requests,2011-02-13T18:38:17Z,2024-03-20T13:56:03Z,,8,3887,3686,1535,Python
nuxt,nuxt,2016-10-26T11:18:47Z,2024-03-20T12:29:56Z,,214,14200,13221,4505,TypeScript
Semantic-Org,Semantic-UI,2013-04-08T23:32:04Z,2024-03-20T12:25:14Z,,154,6223,5256,356,JavaScript
Alvin9999,new-pac,2016-03-23T08:43:36Z,2024-03-20T14:13:31Z,,0,1546,1161,0,
Solido,awesome-flutter,2017-05-07T11:45:27Z,2024-03-20T14:26:00Z,,0,0,0,420,Dart
sherlock-project,sherlock,2018-12-24T14:30:48Z,2024-03-20T14:13:40Z,,0,884,813,537,Python
scrapy,scrapy,2010-02-22T02:01:14Z,2024-03-20T14:19:29Z,,37,2939,2507,2103,Python
ryanoasis,nerd-fonts,2014-12-05T04:31:17Z,2024-03-20T14:26:07Z,,34,907,873,433,CSS
CorentinJ,Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,2024-03-20T14:08:39Z,,0,1064,887,48,Python
ionic-team,ionic-framework,2013-08-20T23:06:02Z,2024-03-20T13:51:43Z,,854,21519,21158,5511,TypeScript
gpt-engineer-org,gpt-engineer,2023-04-29T12:52:15Z,2024-03-20T13:36:46Z,,17,433,409,290,Python
zylon-ai,private-gpt,2023-05-02T09:15:31Z,2024-03-20T14:24:03Z,,6,995,849,151,Python
google,material-design-icons,2014-10-08T18:01:28Z,2024-03-20T11:35:52Z,,16,1377,1081,44,
PlexPt,awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,2024-03-20T14:05:51Z,,0,91,55,32,
google,guava,2014-05-29T16:23:17Z,2024-03-20T13:34:53Z,,43,3536,2899,503,Java
git,git,2008-07-23T14:21:26Z,2024-03-20T13:34:23Z,,0,0,0,3,C
nektos,act,2019-01-02T19:53:43Z,2024-03-20T14:18:44Z,,68,1056,871,868,Go
ollama,ollama,2023-06-26T19:39:32Z,2024-03-20T14:23:52Z,,51,2023,1496,841,C++
soimort,you-get,2012-08-20T15:53:36Z,2024-03-20T13:51:39Z,,118,0,0,572,Python
deepfakes,faceswap,2017-12-19T09:44:13Z,2024-03-20T14:09:08Z,,4,847,830,355,Python
wasabeef,awesome-android-ui,2014-12-24T01:45:03Z,2024-03-20T14:09:45Z,,0,105,92,90,
juliangarnier,anime,2016-03-13T21:37:45Z,2024-03-20T14:03:04Z,,15,706,506,72,JavaScript
rust-lang,rustlings,2015-09-15T02:25:18Z,2024-03-20T14:03:30Z,,39,571,441,825,Rust
jekyll,jekyll,2008-10-20T06:29:03Z,2024-03-20T08:44:27Z,,109,4790,4683,3123,Ruby
jgthms,bulma,2016-01-23T23:48:34Z,2024-03-20T14:01:11Z,,17,2508,2291,611,CSS
prettier,prettier,2016-11-29T17:13:37Z,2024-03-20T13:29:36Z,,113,6478,5389,7912,JavaScript
Textualize,rich,2019-11-10T15:28:09Z,2024-03-20T13:56:03Z,,161,1243,1067,738,Python
